discoverymethod,semimajoraxis,radius,mass,density,eccentricity,inclination,ttv,depth
Transit,0.112,0.88,,,0,85.37,0,0.00712
Transit,0.106,1.43,,,0,83.08,0,0.00712
Transit,0.043,1.72,,,0,88.24,0,0.00717
Transit,0.1063,1.14,,,0,85.94,0,0.00717
Transit,0.1063,1.14,,,0,85.94,0,0.0072
Transit,0.1063,1.14,,,0,85.94,0,0.0072
Transit,0.049,0.68,,,0,89.38,0,0.0072
Transit,0.049,0.68,,,0,89.38,0,0.0072
Transit,0.049,0.68,,,0,89.38,0,0.00721
Transit,0.067,1.45,,,0,89.38,0,0.00721
Transit,0.067,1.45,,,0,89.38,0,0.00721
Transit,0.067,1.45,,,0,89.38,0,0.00723
Transit,0.0364,1.05,,,0,89.38,0,0.00723
Transit,0.0364,1.05,,,0,89.38,0,0.00723
Transit,0.0364,1.05,,,0,89.38,0,0.00723
Transit,0.0777,3.36,,,0,77.56,0,0.00723
Transit,0.0768,0.79,,,0,88.81,0,0.00723
Transit,0.0768,0.79,,,0,88.81,0,0.00724
Transit,0.0768,0.79,,,0,88.81,0,0.00724
Transit,0.1208,1.12,,,0,89.77,0,0.00724
Transit,0.0711,1.44,,,0,89.95,0,0.00726
Transit,0.0711,1.44,,,0,89.95,0,0.00728
Transit,0.0711,1.44,,,0,89.95,0,0.00728
Transit,0.04,1.07,,,0,83.08,0,0.00728
Transit,0.16,1.12,,,0,87.09,0,0.00728
Transit,,0.91,,,,,0,0.00728
Transit,0.0527,0.94,,,0,89.47,0,0.00728
Transit,0.0492,1.1,,,0,89.01,0,0.00728
Transit,0.1266,1.57,,,0,87.81,0,0.0073
Transit,0.0187,0.7,,,0,85.37,0,0.0073
Transit,0.0187,0.7,,,0,85.37,0,0.00731
Transit,0.0187,0.7,,,0,85.37,0,0.00733
Transit,0.0322,1.6,,,0,87.24,0,0.00733
Transit,0.018,0.79,,,0,81.16,0,0.00734
Transit,0.0382,0.98,,,0,88.81,0,0.00736
Transit,0.0382,0.98,,,0,88.81,0,0.00736
Transit,0.0382,0.98,,,0,88.81,0,0.00736
Transit,0.0979,1.06,,,0,89.38,0,0.00736
Transit,0.0979,1.06,,,0,89.38,0,0.00737
Transit,0.0979,1.06,,,0,89.38,0,0.00737
Transit,0.0727,1.31,,,0,87.09,0,0.00737
Transit,0.0727,1.31,,,0,87.09,0,0.00737
Transit,0.0727,1.31,,,0,87.09,0,0.00738
Transit,0.051,0.74,,,0,87.66,0,0.00738
Transit,0.051,1.05,,,0,86.52,0,0.00738
Transit,0.015,1.1,,,0,55.58,0,0.00739
Transit,0.078,2.16,,,0,84.8,0,0.00739
Transit,0.1263,1.43,,,0,89.95,1,0.00739
Transit,0.1263,1.43,,,0,89.95,1,0.0074
Transit,0.1263,1.43,,,0,89.95,1,0.0074
Transit,0.13,1.95,,,0,87.66,0,0.0074
Transit,0.13,1.95,,,0,87.66,0,0.0074
Transit,0.13,1.95,,,0,87.66,0,0.00742
Transit,0.128,1.4,,,0,89.95,0,0.00742
Transit,0.128,1.4,,,0,89.95,0,0.00742
Transit,0.128,1.4,,,0,89.95,0,0.00742
Transit,0.0486,1.06,,,0,88.24,0,0.00742
Transit,0.0486,1.06,,,0,88.24,0,0.00742
Transit,0.0486,1.06,,,0,88.24,0,0.00746
Transit,0.0626,0.82,,,0,87.66,0,0.00746
Transit,0.0626,0.82,,,0,87.66,0,0.00746
Transit,0.0626,0.82,,,0,87.66,0,0.00747
Transit,0.0355,1.24,,,0,80.55,0,0.00747
Transit,0.082,0.89,,,0,88.24,0,0.00747
Transit,0.073,1.24,,,0,81.93,0,0.00748
Transit,0.1075,1.25,,,0,86.47,0,0.00748
Transit,0.1151,1.55,,,0,83.09,0,0.00748
Transit,0.1072,1.32,,,0,85.42,0,0.00749
Transit,0.0616,1.03,,,0,89.38,0,0.0075
Transit,0.0616,1.03,,,0,89.38,0,0.0075
Transit,0.0761,0.51,,,0,89.95,0,0.0075
Transit,0.0761,0.51,,,0,89.95,0,0.00751
Transit,0.0761,0.51,,,0,89.95,0,0.00752
Transit,0.0806,1.04,,,0,87.99,0,0.00754
Transit,0.0491,0.7,,,0,89.68,0,0.00754
Transit,0.02,0.95,,,0,65.89,0,0.00756
Transit,0.1054,1.07,,,0,88.81,0,0.00756
Transit,0.1054,1.07,,,0,88.81,0,0.00756
Transit,0.1054,1.07,,,0,88.81,0,0.00757
Transit,0.061,1.14,,,0,88.24,0,0.00758
Transit,0.0779,1.16,,,0,85.94,0,0.0076
Transit,0.0779,1.16,,,0,85.94,0,0.0076
Transit,0.0779,1.16,,,0,85.94,0,0.0076
Transit,0.0628,1.55,,,0,80.72,0,0.0076
Transit,0.0475,0.65,,,0,88.05,0,0.0076
Transit,0.1098,1.33,,,0,86.26,0,0.0076
Transit,0.015,0.9,,,0,87.38,0,0.0076
Transit,0.0994,1.24,,,0,86.49,0,0.0076
Transit,0.0989,1.5,,,0,87.64,0,0.00763
Transit,0.124,1.07,,,0,86.52,0,0.00765
Transit,0.044,1.43,,,0,75.63,0,0.00765
Transit,0.139,1.07,,,0,88.81,0,0.00767
Transit,0.139,1.07,,,0,88.81,0,0.00768
Transit,0.139,1.07,,,0,88.81,0,0.00768
Transit,0.0391,0.73,,,0,84.53,0,0.0077
Transit,0.0527,0.96,,,0,89.95,0,0.0077
Transit,0.0527,0.96,,,0,89.95,0,0.00771
Transit,0.0527,0.96,,,0,89.95,0,0.00771
Transit,0.0205,1.19,,,0,71.48,0,0.00771
Transit,0.1225,1.31,,,0,86.77,0,0.00772
Transit,0.0419,0.77,,,0,87.54,0,0.00772
Transit,0.0305,0.98,,,0,89.38,0,0.00772
Transit,0.0305,0.98,,,0,89.38,0,0.00772
Transit,0.0305,0.98,,,0,89.38,0,0.00773
Transit,0.0799,1.02,,,0,88.36,1,0.00773
Transit,0.0409,16.16,,,0,87.66,0,0.00774
Transit,0.0409,16.16,,,0,87.66,0,0.00774
Transit,0.0409,16.16,,,0,87.66,0,0.00774
Transit,0.0678,0.62,,,0,89.95,0,0.00774
Transit,0.1231,1.42,,,0,89.96,1,0.00774
Transit,0.067,0.69,,,0,87.09,0,0.00774
Transit,0.0942,0.57,,,0,89.91,0,0.00774
Transit,0.0203,0.92,,,0,85.94,0,0.00774
Transit,0.0203,0.92,,,0,85.94,0,0.00778
Transit,0.0203,0.92,,,0,85.94,0,0.00778
Transit,0.0614,1.07,,,0,89.38,0,0.0078
Transit,0.0614,1.07,,,0,89.38,0,0.00784
Transit,0.0614,1.07,,,0,89.38,0,0.00784
Transit,0.0801,1.05,,,0,89.38,0,0.00784
Transit,0.0801,1.05,,,0,89.38,0,0.00784
Transit,0.0801,1.05,,,0,89.38,0,0.00784
Transit,0.0586,1.31,,,0,89.26,0,0.00784
Transit,0.1911,0.8,,,0,89.38,1,0.00784
Transit,0.1911,0.8,,,0,89.38,1,0.00786
Transit,0.163,0.93,,,0,89.38,0,0.00786
Transit,0.036,1.33,,,0,79.07,0,0.00786
Transit,0.1241,1.74,,,0,89.38,0,0.00787
Transit,0.1241,1.74,,,0,89.38,0,0.0079
Transit,0.1241,1.74,,,0,89.38,0,0.0079
Transit,0.0149,0.97,,,0,88.24,0,0.0079
Transit,0.0149,0.97,,,0,88.24,0,0.0079
Transit,0.0149,0.97,,,0,88.24,0,0.00791
Transit,0.0307,1.02,,,0,89.94,0,0.00791
Transit,0.1236,1.18,,,0,89.95,0,0.00791
Transit,0.1236,1.18,,,0,89.95,0,0.00792
Transit,0.1236,1.18,,,0,89.95,0,0.00792
Transit,0.0419,0.77,,,0,89.38,0,0.00792
Transit,0.0419,0.77,,,0,89.38,0,0.00792
Transit,0.0419,0.77,,,0,89.38,0,0.00792
Transit,0.0557,0.95,,,0,88.81,0,0.00792
Transit,0.0557,0.95,,,0,88.81,0,0.00792
Transit,0.0557,0.95,,,0,88.81,0,0.00793
Transit,0.0878,1.14,,,0,88.33,0,0.00793
Transit,0.1038,0.72,,,0,87.74,0,0.00793
Transit,0.0767,1.33,,,0,82.53,0,0.00794
Transit,0.03,0.68,,,0,85.94,0,0.00794
Transit,0.063,0.91,,,0,86.52,0,0.00794
Transit,0.059,1.18,,,0,82.51,0,0.00795
Transit,0.049,1.28,,,0,73.34,0,0.00797
Transit,0.0665,0.66,,,0,89.38,0,0.00797
Transit,0.0665,0.66,,,0,89.38,0,0.008
Transit,0.0665,0.66,,,0,89.38,0,0.008
Transit,0.0301,0.73,,,0,83.65,0,0.008
Transit,0.0301,0.73,,,0,83.65,0,0.008
Transit,0.0301,0.73,,,0,83.65,0,0.00802
Transit,0.0435,1.39,,,0,80.59,0,0.00802
Transit,0.036,0.81,,,0,88.24,0,0.00802
Transit,0.036,0.81,,,0,88.24,0,0.00806
Transit,0.036,0.81,,,0,88.24,0,0.00806
Transit,0.0393,0.64,,,0,89.38,0,0.00806
Transit,0.0393,0.64,,,0,89.38,0,0.00807
Transit,0.0393,0.64,,,0,89.38,0,0.00809
Transit,0.076,1.02,,,0,82.51,0,0.00809
Transit,0.08,1.03,,,0,88.24,1,0.00809
Transit,0.381,1.09,,,0,89.38,0,0.0081
Transit,0.0566,1.18,,,0,88.48,0,0.0081
Transit,0.1368,0.742,,,,89.07,0,0.0081
Transit,0.1457,0.77,,,0,89.95,1,0.0081
Transit,0.1457,0.77,,,0,89.95,1,0.0081
Transit,0.1457,0.77,,,0,89.95,1,0.0081
Transit,0.1595,0.95,,,0,89.38,0,0.0081
Transit,0.1595,0.95,,,0,89.38,0,0.00811
Transit,0.1595,0.95,,,0,89.38,0,0.00811
Transit,0.0712,3.01,,,0,71.62,0,0.00811
Transit,0.0712,3.01,,,0,71.62,0,0.00811
Transit,0.0712,3.01,,,0,71.62,0,0.00811
Transit,0.0201,1.49,,,0,89.33,0,0.00811
Transit,0.0397,0.9,,,0,88.74,0,0.00811
Transit,0.0351,0.99,,,0,88.24,0,0.00813
Transit,0.0351,0.99,,,0,88.24,0,0.00813
Transit,0.0351,0.99,,,0,88.24,0,0.00813
Transit,0.0592,2.82,,,0,79.48,0,0.00814
Transit,0.0194,0.84,,,0,88.81,0,0.00815
Transit,0.0194,0.84,,,0,88.81,0,0.00816
Transit,0.0194,0.84,,,0,88.81,0,0.00816
Transit,,0.868,3.08,,0.28,87.5,0,0.00816
Transit,0.106,1.02,,,0,88.81,0,0.00816
Transit,0.0771,1.35,,,0,88.81,0,0.00818
Transit,0.068,1.79,,,0,83.08,1,0.00818
Transit,0.0351,0.97,,,0,89.87,0,0.00818
Transit,0.0967,1.31,,,0,89.38,0,0.0082
Transit,0.0967,1.31,,,0,89.38,0,0.0082
Transit,0.0967,1.31,,,0,89.38,0,0.0082
Transit,0.039,1.31,,,0,69.33,0,0.0082
Transit,0.0584,0.65,,,0,89.01,0,0.00824
Transit,0.0354,0.98,,,0,89.01,0,0.00825
Transit,0.0283,1.27,,,0,84.06,0,0.00825
Transit,0.181,1.52,,,0,89.98,0,0.00825
Transit,0.0397,0.91,,,0,88.81,0,0.0083
Transit,0.0397,0.91,,,0,88.81,0,0.00832
Transit,0.0397,0.91,,,0,88.81,0,0.00832
Transit,0.0795,1.03,,,0,89.38,1,0.00832
Transit,0.0795,1.03,,,0,89.38,1,0.00832
Transit,0.0795,1.03,,,0,89.38,1,0.00834
Transit,0.0393,0.7,,,0,85.56,0,0.00834
Transit,0.036,0.92,,,0,89.79,0,0.00834
Transit,0.0643,1.54,,,0,89.38,1,0.00834
Transit,0.0643,1.54,,,0,89.38,1,0.00834
Transit,0.0643,1.54,,,0,89.38,1,0.00834
Transit,0.0878,1.32,,,0,83.65,0,0.00835
Transit,0.0878,1.32,,,0,83.65,0,0.00836
Transit,0.0878,1.32,,,0,83.65,0,0.00837
Transit,0.036,0.84,,,0,89.95,0,0.00837
Transit,0.042,0.93,,,0,83.08,0,0.00837
Transit,0.044,1.08,,,0,76.78,0,0.00839
Transit,0.095,1.82,,,0,83.08,0,0.00839
Transit,0.043,1.3,,,0,86.52,0,0.00839
Transit,0.043,1.3,,,0,86.52,0,0.0084
Transit,0.043,1.3,,,0,86.52,0,0.0084
Transit,0.0354,0.84,,,0,85.4,0,0.0084
Transit,0.1038,0.79,,,0,85.37,0,0.0084
Transit,0.1038,0.79,,,0,85.37,0,0.00841
Transit,0.1038,0.79,,,0,85.37,0,0.00841
Transit,0.0626,0.84,,,0,89.22,0,0.00841
Transit,0.1155,1.48,,,0,89.38,1,0.00842
Transit,0.1155,1.48,,,0,89.38,1,0.00843
Transit,0.1155,1.48,,,0,89.38,1,0.00843
Transit,0.0354,0.84,,,0,89.95,0,0.00843
Transit,0.0354,0.84,,,0,89.95,0,0.00844
Transit,0.0354,0.84,,,0,89.95,0,0.00844
Transit,0.1133,1.45,,,0,89.95,1,0.00844
Transit,0.0939,1.51,,,0,88.24,0,0.00844
Transit,0.0939,1.51,,,0,88.24,0,0.00845
Transit,0.0939,1.51,,,0,88.24,0,0.00845
Transit,0.0596,1.22,,,0,79.07,0,0.00845
Transit,0.0679,0.705,,,0.042,88.28,0,0.00846
Transit,0.027,1.02,,,0,71.05,0,0.00847
Transit,0.112,1.18,,,0,87.09,0,0.00847
Transit,0.1594,1.29,,,0,85.83,0,0.00847
Transit,0.035,1.42,,,,,0,0.00848
Transit,0.0657,0.72,,,0,88.66,0,0.0085
Transit,0.0206,0.55,,,0,86.72,0,0.0085
Transit,0.1398,0.71,,,0,89.95,0,0.0085
Transit,0.1398,0.71,,,0,89.95,0,0.0085
Transit,0.1398,0.71,,,0,89.95,0,0.0085
Transit,0.0772,1,,,0,89.17,0,0.00853
Transit,0.1,1.25,,,0,85.16,0,0.00854
Transit,0.0519,1.33,,,0,88.81,0,0.00854
Transit,0.0519,1.33,,,0,88.81,0,0.00854
Transit,0.0519,1.33,,,0,88.81,0,0.00854
Transit,0.0779,1.38,,,0,89.91,0,0.00854
Transit,0.2134,2.17,,,0,89.95,0,0.00854
Transit,0.2134,2.17,,,0,89.95,0,0.00854
Transit,0.2134,2.17,,,0,89.95,0,0.00854
Transit,0.0351,0.97,,,0,88.24,0,0.00854
Transit,0.0351,0.97,,,0,88.24,0,0.00854
Transit,0.0351,0.97,,,0,88.24,0,0.00856
Transit,0.0614,1.3,,,0,89.31,0,0.00856
Transit,0.0541,0.66,,,0,88.24,0,0.00856
Transit,0.0541,0.66,,,0,88.24,0,0.00858
Transit,0.0541,0.66,,,0,88.24,0,0.00858
Transit,0.0904,0.59,,,0,89.95,0,0.00858
Transit,0.0904,0.59,,,0,89.95,0,0.00858
Transit,0.0904,0.59,,,0,89.95,0,0.00859
Transit,0.049,0.79,,,0,85.37,0,0.00859
Transit,0.0595,0.92,,,0,84.83,0,0.00859
Transit,0.077,1.11,,,0,88.24,0,0.0086
Transit,0.074,1.12,,,0,88.81,0,0.0086
Transit,0.0437,1.65,,,0,74.56,0,0.0086
Transit,0.0742,1.32,,,0,88.81,0,0.0086
Transit,0.0742,1.32,,,0,88.81,0,0.0086
Transit,0.0742,1.32,,,0,88.81,0,0.0086
Transit,0.1072,1.09,,,0,89.27,0,0.0086
Transit,0.0599,0.92,,,0,89.38,0,0.0086
Transit,0.0599,0.92,,,0,89.38,0,0.00861
Transit,0.0599,0.92,,,0,89.38,0,0.00861
Transit,0.1179,1.33,,,0,89.52,0,0.00861
Transit,0.0677,1.74,,,0,86.39,1,0.00865
Transit,0.057,0.97,,,0,85.94,0,0.00867
Transit,0.218,1.4,,,0,87.09,0,0.00867
Transit,0.052,1.59,,,0,85.37,0,0.00867
Transit,0.0548,0.86,,,0,89.24,0,0.00868
Transit,0.1413,0.72,,,0,89.88,0,0.00868
Transit,0.0886,1.24,,,0,89.07,0,0.0087
Transit,0.1008,0.97,,,0,89.95,0,0.0087
Transit,0.1008,0.97,,,0,89.95,0,0.0087
Transit,0.1008,0.97,,,0,89.95,0,0.00872
Transit,0.0352,1.36,,,0,88,0,0.00873
Transit,0.0727,1.15,,,0,89.95,0,0.00876
Transit,0.0727,1.15,,,0,89.95,0,0.00879
Transit,0.0727,1.15,,,0,89.95,0,0.00879
Transit,0.1006,1.15,,,0,88.81,0,0.00879
Transit,0.1006,1.15,,,0,88.81,0,0.00879
Transit,0.1006,1.15,,,0,88.81,0,0.0088
Transit,0.104,1.16,,,0,88.24,0,0.0088
Transit,0.0987,1.31,,,0,85.67,0,0.0088
Transit,0.098,1.37,,,0,82.51,0,0.0088
Transit,0.0275,0.98,,,0,88.81,0,0.0088
Transit,0.0275,0.98,,,0,88.81,0,0.0088
Transit,0.0275,0.98,,,0,88.81,0,0.0088
Transit,0.0801,1.2,,,0,89.95,0,0.0088
Transit,0.0801,1.2,,,0,89.95,0,0.0088
Transit,0.0801,1.2,,,0,89.95,0,0.00883
Transit,0.0635,1.29,,,0,80.06,0,0.00883
Transit,0.0347,1.05,,,0,85.94,0,0.00883
Transit,0.0347,1.05,,,0,85.94,0,0.00884
Transit,0.0347,1.05,,,0,85.94,0,0.00884
Transit,0.1833,1.08,,,0,88.81,0,0.00884
Transit,0.1833,1.08,,,0,88.81,0,0.00888
Transit,0.1833,1.08,,,0,88.81,0,0.00889
Transit,0.0743,1.09,,,0,85.37,0,0.00889
Transit,0.0743,1.09,,,0,85.37,0,0.00889
Transit,0.0743,1.09,,,0,85.37,0,0.00889
Transit,0.0663,3.34,,,0,85.42,0,0.00889
Transit,0.153,3.6,,,0,84.53,0,0.00889
Transit,0.0419,0.79,,,0,89.95,0,0.00892
Transit,0.0419,0.79,,,0,89.95,0,0.00892
Transit,0.0419,0.79,,,0,89.95,0,0.00892
Transit,0.1606,2.38,,,0,89.38,0,0.00895
Transit,0.1606,2.38,,,0,89.38,0,0.00895
Transit,0.1606,2.38,,,0,89.38,0,0.00898
Transit,0.033,0.74,,,0,87.09,0,0.00898
Transit,0.053,1.14,,,0,88.24,0,0.00898
Transit,0.0255,0.8,,,0,89.95,0,0.00898
Transit,0.0255,0.8,,,0,89.95,0,0.00898
Transit,0.0255,0.8,,,0,89.95,0,0.00898
Transit,0.0614,1.33,,,0,89.38,0,0.009
Transit,0.0614,1.33,,,0,89.38,0,0.009
Transit,0.0614,1.33,,,0,89.38,0,0.00903
Transit,0.1074,1.81,,,0,89.15,0,0.00903
Transit,0.0419,0.8,,,0,88.66,0,0.00903
Transit,0.0726,1.19,,,0,88.54,0,0.00905
Transit,0.0423,1.06,,,0,87.66,0,0.00905
Transit,0.0423,1.06,,,0,87.66,0,0.00905
Transit,0.0423,1.06,,,0,87.66,0,0.00906
Transit,0.0334,0.95,,,0,86.52,0,0.00907
Transit,0.0334,0.95,,,0,86.52,0,0.00907
Transit,0.0334,0.95,,,0,86.52,0,0.00908
Transit,0.088,0.88,,,0,89.38,0,0.00908
Transit,0.146,1.05,,,0,87.09,0,0.00908
Transit,0.0601,1.07,,,0,89.95,0,0.00909
Transit,0.0601,1.07,,,0,89.95,0,0.00909
Transit,0.0601,1.07,,,0,89.95,0,0.00909
Transit,0.115,1.97,,,0,84.8,0,0.0091
Transit,0.0257,1.23,,,0,87.26,0,0.0091
Transit,0.0994,1.06,,,0,89.38,0,0.0091
Transit,0.0994,1.06,,,0,89.38,0,0.0091
Transit,0.0994,1.06,,,0,89.38,0,0.0091
Transit,0.075,1,,,0,88.24,0,0.0091
Transit,0.042,1.11,,,0,81.93,0,0.00912
Transit,0.1107,1.16,,,0,89.38,0,0.00915
Transit,0.1107,1.16,,,0,89.38,0,0.00915
Transit,0.1107,1.16,,,0,89.38,0,0.00915
Transit,0.105,1.33,,,0,85.37,0,0.0092
Transit,0.0832,1.54,,,0,88.81,1,0.0092
Transit,0.0832,1.54,,,0,88.81,1,0.0092
Transit,0.0832,1.54,,,0,88.81,1,0.0092
Transit,0.1055,1.09,,,0,87.66,0,0.0092
Transit,0.1055,1.09,,,0,87.66,0,0.0092
Transit,0.1055,1.09,,,0,87.66,0,0.0092
Transit,0.0548,0.89,,,0,89.38,0,0.0092
Transit,0.0548,0.89,,,0,89.38,0,0.0092
Transit,0.0548,0.89,,,0,89.38,0,0.00923
Transit,0.1597,0.99,,,0,89.38,0,0.00923
Transit,0.1597,0.99,,,0,89.38,0,0.00923
Transit,0.1597,0.99,,,0,89.38,0,0.00926
Transit,0.0431,0.89,,,0,87.45,0,0.00926
Transit,0.0647,0.73,,,0,89.57,0,0.00926
Transit,0.0953,1,,,0,88.58,0,0.00927
Transit,0.021,0.57,,,0,84.8,0,0.00927
Transit,0.059,1.11,,,0,88.24,0,0.00927
Transit,0.029,1.19,,,0,72.19,0,0.00928
Transit,0.0205,0.54,,,0,89.38,0,0.00929
Transit,0.0205,0.54,,,0,89.38,0,0.00929
Transit,0.0205,0.54,,,0,89.38,0,0.0093
Transit,0.0641,1.04,,,0,87.66,0,0.0093
Transit,0.0641,1.04,,,0,87.66,0,0.0093
Transit,0.0641,1.04,,,0,87.66,0,0.00933
Transit,0.2163,1.5,,,0,88.81,0,0.00933
Transit,0.2163,1.5,,,0,88.81,0,0.00933
Transit,0.2163,1.5,,,0,88.81,0,0.00936
Transit,0.137,0.75,,,0,88.81,0,0.00936
Transit,0.137,1.03,,,0,88.24,0,0.00936
Transit,0.051,1.36,,,0,85.94,0,0.00938
Transit,0.0596,0.86,,,0,88.24,0,0.00938
Transit,0.0596,0.86,,,0,88.24,0,0.00938
Transit,0.0596,0.86,,,0,88.24,0,0.0094
Transit,0.1359,0.88,,,0,88.81,0,0.0094
Transit,0.1359,0.88,,,0,88.81,0,0.0094
Transit,0.1359,0.88,,,0,88.81,0,0.00941
Transit,0.033,0.96,,,0,87.91,0,0.00941
Transit,0.1015,1.29,,,0,89.38,0,0.00941
Transit,0.1015,1.29,,,0,89.38,0,0.00941
Transit,0.1015,1.29,,,0,89.38,0,0.00941
Transit,0.1234,0.81,,,0,89.8,0,0.00941
Transit,0.1155,0.87,,,0,89.95,0,0.00941
Transit,0.1155,0.87,,,0,89.95,0,0.00941
Transit,0.1155,0.87,,,0,89.95,0,0.00941
Transit,0.1154,1.7,,,0,82.51,0,0.00941
Transit,0.1154,1.7,,,0,82.51,0,0.00944
Transit,0.1154,1.7,,,0,82.51,0,0.00945
Transit,0.1431,1,,,0,88.24,0,0.00945
Transit,0.1431,1,,,0,88.24,0,0.00945
Transit,0.1431,1,,,0,88.24,0,0.00945
Transit,0.102,1.36,,,0,85.94,0,0.00945
Transit,0.21,2.4,,,0,86.52,0,0.00945
Transit,0.2134,2.33,,,0,88.55,0,0.0095
Transit,0.0486,1.07,,,0,89.38,0,0.0095
Transit,0.0486,1.07,,,0,89.38,0,0.0095
Transit,0.0486,1.07,,,0,89.38,0,0.0095
Transit,0.1211,1.46,,,0,89.53,0,0.0095
Transit,0.104,1.47,,,0,89.02,0,0.00952
Transit,0.0275,1.09,,,0,87.66,0,0.00955
Transit,0.0275,1.09,,,0,87.66,0,0.00955
Transit,0.0275,1.09,,,0,87.66,0,0.00955
Transit,0.2875,1.19,,,0,89.38,0,0.00955
Transit,0.2875,1.19,,,0,89.38,0,0.00955
Transit,0.2875,1.19,,,0,89.38,0,0.00956
Transit,0.061,0.74,,,0,89.95,0,0.00956
Transit,0.1153,1.09,,,0,89.95,0,0.00956
Transit,0.1153,1.09,,,0,89.95,0,0.00956
Transit,0.1153,1.09,,,0,89.95,0,0.00956
Transit,0.077,1.29,,,0,87.09,0,0.00956
Transit,0.048,1.29,,,0,80.21,0,0.0096
Transit,0.0346,1.24,,,0,87.59,0,0.0096
Transit,0.1095,1.29,,,0,88.24,0,0.0096
Transit,0.1095,1.29,,,0,88.24,0,0.0096
Transit,0.1095,1.29,,,0,88.24,0,0.0096
Transit,0.0431,1,,,0,83.65,0,0.0096
Transit,0.0431,1,,,0,83.65,0,0.00964
Transit,0.0431,1,,,0,83.65,0,0.00964
Transit,0.1032,1.06,,,0,88.81,0,0.00964
Transit,0.1032,1.06,,,0,88.81,0,0.00964
Transit,0.1032,1.06,,,0,88.81,0,0.00965
Transit,0.1197,1.77,,,0,82.45,0,0.00965
Transit,0.0121,0.82,,,0,85.27,0,0.00965
Transit,0.126,1.41,,,0,87.09,0,0.00967
Transit,0.0194,0.85,,,0,88.34,0,0.00967
Transit,0.0794,0.93,,,0,86.83,0,0.00967
Transit,0.1187,1.87,,,0,84.73,0,0.00969
Transit,0.1724,1.29,,,0,89.95,0,0.0097
Transit,0.1724,1.29,,,0,89.95,0,0.0097
Transit,0.1724,1.29,,,0,89.95,0,0.00975
Transit,0.1152,1.51,,,0,89.94,0,0.00976
Transit,0.0958,1.65,,,0,89.5,0,0.00978
Transit,0.042,0.82,,,0,85.37,0,0.00979
Transit,0.035,1.27,,,0,79.07,0,0.00979
Transit,0.084,1.52,,,,,1,0.00979
Transit,0.115,1.53,,,0,86.52,0,0.00979
Transit,0.0854,2.39,,,0,71.53,0,0.00979
Transit,0.1362,0.9,,,0,89.94,0,0.0098
Transit,0.1435,1.27,,,0,89.39,0,0.0098
Transit,0.0473,1.36,,,0,85.83,0,0.0098
Transit,0.0156,0.6,,,0,87.78,0,0.0098
Transit,0.0396,1.05,,,0,87.67,0,0.0098
Transit,0.0337,0.8,,,0,89.38,0,0.00981
Transit,0.0337,0.8,,,0,89.38,0,0.00982
Transit,0.0337,0.8,,,0,89.38,0,0.00984
Transit,0.1042,1.02,,,0,88.81,1,0.00985
Transit,0.1042,1.02,,,0,88.81,1,0.00985
Transit,0.1042,1.02,,,0,88.81,1,0.00987
Transit,0.0445,1.21,,,0,87.66,0,0.00987
Transit,0.0445,1.21,,,0,87.66,0,0.00987
Transit,0.0445,1.21,,,0,87.66,0,0.00988
Transit,0.0471,1.43,,,0,89.92,0,0.00988
Transit,0.165,0.79,,,0,88.68,0,0.00988
Transit,0.061,1.15,,,0,85.94,0,0.00988
Transit,0.048,1.22,,,0,82.51,0,0.00988
Transit,0.161,1.3,,,0,88.81,0,0.00988
Transit,0.077,1.71,,,,,1,0.00988
Transit,0.1724,1.73,,,0,80.02,0,0.0099
Transit,0.035,1.42,,,0,88.77,0,0.0099
Transit,0.2143,1.55,,,0,88.92,0,0.0099
Transit,0.0127,0.89,,,,,0,0.0099
Transit,0.025,1.17,,,0,83.08,0,0.0099
Transit,0.082,2.2,,,0,82.51,1,0.00994
Transit,0.083,1.05,,,0,89.38,0,0.00997
Transit,0.083,1.05,,,0,89.38,0,0.00997
Transit,0.083,1.05,,,0,89.38,0,0.01
Transit,0.033,0.86,,,0,87.66,0,0.01
Transit,0.033,0.86,,,0,87.66,0,0.01
Transit,0.033,0.86,,,0,87.66,0,0.01001
Transit,0.0498,1.21,,,0,88.85,0,0.01001
Transit,0.0354,1.5,,,0,80.79,0,0.01001
Transit,0.0354,1.5,,,0,80.79,0,0.01004
Transit,0.0354,1.5,,,0,80.79,0,0.01004
Transit,0.0518,1.26,,,0,86.52,0,0.01004
Transit,0.0518,1.26,,,0,86.52,0,0.01004
Transit,0.0518,1.26,,,0,86.52,0,0.01004
Transit,0.1021,0.87,,,0,89.24,0,0.01004
Transit,,1.03,14.3,,0.32,88.68,0,0.01004
Transit,0.027,1.17,,,0,76.2,0,0.01007
Transit,0.057,1.36,,,0,85.37,0,0.01007
Transit,0.072,3.12,,,0,81.93,0,0.01007
Transit,0.0194,0.89,,,0,83.08,0,0.01008
Transit,0.0194,0.89,,,0,83.08,0,0.0101
Transit,0.0194,0.89,,,0,83.08,0,0.0101
Transit,0.0475,1.22,,,0,88.81,0,0.0101
Transit,0.0475,1.22,,,0,88.81,0,0.0101
Transit,0.0475,1.22,,,0,88.81,0,0.01011
Transit,0.0285,1.72,,,0,73.17,0,0.01011
Transit,0.0712,1.08,,,0,88.81,0,0.01011
Transit,0.0712,1.08,,,0,88.81,0,0.01011
Transit,0.0712,1.08,,,0,88.81,0,0.01011
