discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Radial Velocity,0.2151,,,,,0.068,,0,
Radial Velocity,0.476,,,,,0.35,,0,
Radial Velocity,1.9,,,,,0.14,,0,
Radial Velocity,1.758,,,,,0.06,90,0,
Radial Velocity,1.93,,,,,0.22,,0,
Radial Velocity,2.153,,,,,0.08,90,0,
Radial Velocity,0.484,,,2380.45,7.49,0.4007,,0,
Radial Velocity,0.456,,,,,0.397,,0,
Radial Velocity,0.481,,,,,0.399,,0,
Radial Velocity,0.4765,,,,,0.3989,,0,
Radial Velocity,0.48,,,,,0.4,,0,
Radial Velocity,0.481,,,,,0.3988,,0,
Radial Velocity,2.1,,,,,0.117,,0,
Radial Velocity,0.49,,,,,0.06,,0,
Radial Velocity,0.49,,,,,0.06,,0,
Radial Velocity,2.17,,,,,,,0,
Radial Velocity,2.5,,,,,0.206,,0,
Radial Velocity,0.7,,,,,0.027,,0,
Imaging,93.9,,,2860.45566,9,0.4,42.6,0,
Imaging,260,,,4290.5,13.5,,,0,
Transit,,,,11.7,0.03681,0.04,,1,
Transit,,4.027,0.359,,,,,1,0.287229
Transit,0.0645,4.07,0.363,17,0.05349,0,89.5,1,
Transit,,,,17.1,0.0538,,89.5,1,
Transit,0.0645,,,20.12,0.0633,0.186,,1,
Transit,0.066,4.203,0.375,,,0.1,,1,
Transit,0.0644,4.19,0.374,,,0.12,89.18,1,
Transit,,,,22.2,0.06985,0.041,,0,
Transit,0.11,2.79,0.249,,,0.13,89.39,0,
Transit,0.1101,,,9.6,0.0302,,,0,
Transit,0.1101,3.24,0.289,13.6,0.04279,0,89,0,
Radial Velocity,1.3,,,,,0.2,,0,
Radial Velocity,0.78,,,,,0.29,,0,
Radial Velocity,0.777,,,,,0.29,,0,
Radial Velocity,0.576,,,,,0.001,,0,
Radial Velocity,0.539,,,,,0.26,,0,
Radial Velocity,1.05,,,,,0.15,,0,
Radial Velocity,1.45,,,,,0.15,,0,
Radial Velocity,2.01,,,,,0.18,,0,
Radial Velocity,1.3,,,,,0.21,,0,
Transit,,2.355,0.21,,,,89.526,0,
Transit,0.241,2.23,0.199,16.3,0.05129,0,89.55,0,
Transit,,2.578,0.23,22.2481,0.07,0,89.55,0,0.049
Radial Velocity,0.83,,,,,0.12,2.579,0,
Radial Velocity,1,,,,,0.2,,0,
Radial Velocity,1.7,,,,,0.76,,0,
Radial Velocity,4.2,,,,,0.35,,0,
Radial Velocity,0.78,,,,,0.27,0.601,0,
Imaging,1662,14.684,1.31,4767.4261,15,,,0,
Radial Velocity,2.06,,,,,0.88,5.974,0,
Radial Velocity,1.48,,,,,0.39,13.31,0,
Radial Velocity,0.0428,,,,,0,,0,
Radial Velocity,0.435,,,,,0.31,,0,
Radial Velocity,0.056,,,,,0.15,,0,
Radial Velocity,0.06,,,,,0.15,,0,
Radial Velocity,0.68,,,,,0.19,,0,
Radial Velocity,0.046,,,,,0.05,,0,
Radial Velocity,0.04,,,,,0.02,,0,
Radial Velocity,0.045,,,,,0.022,,0,
Radial Velocity,0.0452,,,,,0.019,,0,
Radial Velocity,2.28,,,,,0.05,,0,
Radial Velocity,2.36,,,,,0.05,,0,
Radial Velocity,0.3,,,,,0.4,,0,
Radial Velocity,2.1,,,,,0.21,,0,
Radial Velocity,1.66,,,,,0.21,,0,
Radial Velocity,1.34,,,,,0.54,,0,
Radial Velocity,1.34,,,,,0.54,,0,
Radial Velocity,0.0185,,,,,,87.48,0,
