discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Transit,,4.294,0.383,,,,89.256,0,
Transit,,4.786,0.427,,,,88.304,0,
Radial Velocity,2.015,,,,,0.15,,0,
Radial Velocity,2.03,,,,,0.16,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,4.496414,,,3518.96545,11.0719,0.564614,88.922,0,
Radial Velocity,4.48,,,6006.95689,18.9,0.571,29.2,0,
Radial Velocity,4.59,,,,,0.572,,0,
Imaging,,,,4115.8985,12.95,,,0,
Imaging,650,,,3496,11,,,0,
Radial Velocity,2.16,,,,,0.1023,,0,
Radial Velocity,2.050268,,,1914.58848,6.02397,0.104467,86.116,0,
Radial Velocity,2.14,,,,,0.1043,,0,
Radial Velocity,2.131,,,,,0.099,,0,
Radial Velocity,2.156,,,,,0.0998,,0,
Radial Velocity,0.3668,,,,,0.174,,0,
Radial Velocity,0.269,,,,,0.05,,0,
Radial Velocity,0.1407,,,,,0.34,,0,
Radial Velocity,0.104,,,,,0.498,,0,
Radial Velocity,0.102,,,,,0.53,,0,
Transit,0.0469,1.586,0.141,,,0.2,87.88,0,
Transit,,1.553,0.139,,,,,0,0.031753
Transit,0.04527,1.615,0.144,,,0.045,87.59,0,0.0285
Transit,0.062,2.071,0.185,,,0.034,88.3,0,0.0469
Transit,0.0651,2.068,0.184,,,0.18,88.72,0,
Transit,,2.057,0.183,,,,,0,0.05489
Transit,0.1131,2.72,0.242,,,0.17,89.22,0,
Transit,,2.623,0.234,,,,,0,0.090713
Transit,0.1074,2.539,0.227,,,0.055,89.06,0,0.0705
Transit,0.14,3.12,0.279,,,0.2,89.32,0,
Transit,,3.003,0.268,,,,,0,0.118267
Transit,0.1367,3.083,0.275,,,0.058,89.245,0,0.1038
Transit,0.1758,2.017,0.18,,,0.051,88.963,0,0.0445
Radial Velocity,2,,,,,0.85,,0,
Radial Velocity,1.45,,,,,0,,0,
Radial Velocity,1.4,,,,,0.06,,0,
Radial Velocity,1.32,,,,,0.032,,0,
Radial Velocity,1.06,,,,,0.17,,0,
Radial Velocity,1.038,,,,,0.082,,0,
Radial Velocity,1.053,,,,,0.128,,0,
Radial Velocity,1.052,,,,,0.144,,0,
Radial Velocity,1.051,,,,,0.068,,0,
Radial Velocity,1.051,,,,,0.07,,0,
Radial Velocity,1.04,,,,,0.13,,0,
Radial Velocity,2.659,,,,,0.239,,0,
Radial Velocity,2.658,,,,,0.252,,0,
Radial Velocity,2.68,,,,,0.25,,0,
Radial Velocity,2.83,,,,,0.265,,0,
Radial Velocity,2.77,,,,,0.273,,0,
Radial Velocity,0.33,,,,,0.12,,0,
Radial Velocity,0.33,,,,,0.12,,0,
Radial Velocity,0.079,,,,,0.25,,0,
Radial Velocity,0.196,,,,,0.15,,0,
Radial Velocity,1.259,,,,,0.338,,0,
Radial Velocity,0.0615,,,,,0,,0,
Radial Velocity,0.0635,,,,,0.01,,0,
Radial Velocity,0.06,,,,,0,,0,
Radial Velocity,0.95,,,,,0.442,,0,
Radial Velocity,12.511098,,,6725.39378,21.16046,0.05578,33.992,0,
Radial Velocity,2.14,,,,,0.462,,0,
Radial Velocity,2.12,,,,,,,0,
Radial Velocity,2.5,,,,,0.06,,0,
Transit,,3.131,0.279,,,,,0,0.068803
Transit,0.113,3.2,0.285,,,0.2,88.2,0,
Transit,0.035,2.05,0.183,4.55,0.01432,0.093,,0,
Transit,,2.011,0.179,,,,,0,0.040827
Radial Velocity,0.068,,,,,0.045,,0,
Radial Velocity,16.589764,,,8644.78715,27.19954,0.401407,51.891,0,
Radial Velocity,13.503729,,,2428.48595,7.64087,0.285438,144.876,0,
Radial Velocity,2.147271,,,2626.8024,8.26484,0.213617,93.521,0,
Radial Velocity,1.9,,,,,0.19,,0,
Radial Velocity,1.97,,,,,0.2,,0,
Radial Velocity,1.97,,,,,0.2,,0,
Radial Velocity,17.205919,,,6085.555,19.1473,0.558246,87.902,0,
Radial Velocity,2.5,,,,,0.26,,0,
Radial Velocity,1.82,,,,,0.03,,0,
Radial Velocity,1.7,,,,,0.24,,0,
Radial Velocity,1.021796,,,,,0.279903,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,0.92,,,,,0.46,,0,
Radial Velocity,6.82814,,,6268.96682,19.72438,0.164097,57.478,0,
Radial Velocity,0.922152,,,,,0.168579,,0,
Radial Velocity,0.71,,,,,0.61,,0,
Radial Velocity,1.24,,,,,0.14,,0,
Radial Velocity,2.43,,,,,0.32,,0,
Radial Velocity,2.44,,,,,0.2,,0,
Radial Velocity,1.6,,,,,0.28,,0,
Radial Velocity,0.5109,11.209,1,2542.62726,8,0.395,90,0,
Radial Velocity,1.65,,,,,0.23,,0,
Radial Velocity,1.73,,,,,0.23,,0,
Radial Velocity,5.34,,,,,0.458,,0,
Radial Velocity,5.16,,,,,0.25,,0,
Radial Velocity,2.094,,,,,0.098,,0,
Radial Velocity,2.08,,,,,0.32,,0,
Radial Velocity,2.067,,,,,0.079,,0,
Radial Velocity,2.1,,,,,0.17,,0,
Radial Velocity,2.11,,,,,0.167,,0,
Radial Velocity,1.16,,,,,0.144,,0,
Radial Velocity,1.164,,,,,0.126,,0,
Radial Velocity,1.2,,,,,0.1,,0,
Radial Velocity,1.169,,,,,0.085,,0,
Radial Velocity,4.97,,,,,0.114,,0,
Radial Velocity,,,,,,0,,0,
Radial Velocity,20.331534,,,2649.58135,8.33652,0.144108,87.505,0,
Radial Velocity,2.9,,,,,0.3743,,0,
Radial Velocity,2.708,,,,,0.37,,0,
Radial Velocity,2.6,,,,,0.3,,0,
Radial Velocity,2.48,,,,,0.3,,0,
Radial Velocity,2.43,,,,,0.22,,0,
Radial Velocity,2.798425,,,1716.82279,5.40173,0.390871,112.598,0,
Radial Velocity,0.639,,,,,0.42,,0,
Radial Velocity,0.749283,,,,,0.233121,,0,
Radial Velocity,0.774,,,,,0.193,,0,
Radial Velocity,0.721,,,,,0.24,,0,
Radial Velocity,12.245208,,,2446.83592,7.69861,0.060812,82.004,0,
Radial Velocity,0.088127,,,,,0.231551,,0,
Radial Velocity,11.294908,,,3299.58202,10.38165,0.211449,25.791,0,
Radial Velocity,5,,,,,0.487,,0,
Radial Velocity,1.65,,,,,0,,0,
Radial Velocity,1.78,,,,,0.054,,0,
Radial Velocity,,,,,,0.038,,0,
Radial Velocity,3.74,,,,,0.14,,0,
Radial Velocity,3.79,,,,,0.144,,0,
Radial Velocity,3.787,,,,,0.157,,0,
Radial Velocity,,,,,,0.15,,0,
Radial Velocity,3.744,,,,,0.142,,0,
Radial Velocity,3.78,,,,,0.16,,0,
Radial Velocity,1.09,,,,,0.19,,0,
Radial Velocity,1.08,,,,,0.19,,0,
Radial Velocity,0.17,,,,,0.37,,0,
Radial Velocity,0.17,,,,,0.42,,0,
Radial Velocity,0.18,,,,,0.15,,0,
Radial Velocity,0.176,,,,,0.42,,0,
Radial Velocity,0.07,,,,,0.31,,0,
Radial Velocity,,13.138,1.172,,,,,0,0.386
Radial Velocity,0.07,,,,,0.309,,0,
Radial Velocity,3.34,,,,,0.06,,0,
Radial Velocity,3.16,,,,,0.041,,0,
Radial Velocity,,,,,,0.073,,0,
Radial Velocity,3.185,,,,,0.101,,0,
Radial Velocity,0.2315,,,,,0.106,,0,
Radial Velocity,0.229,,,,,0.3,,0,
Radial Velocity,1.89,,,,,0.3,,0,
Radial Velocity,1.93,,,,,0.4,,0,
Radial Velocity,1.89,,,,,,,0,
Radial Velocity,4.332646,,,2439.44256,7.67534,0.732073,110.934,0,
Radial Velocity,4.3,,,,,0.66,,0,
Radial Velocity,0.33,,,,,0.03,,0,
Radial Velocity,0.33,,,,,0.03,,0,
Radial Velocity,0.053918,,,,,0.376428,,0,
Radial Velocity,22.187701,,,3171.50491,9.97867,0.174465,47.738,0,
Radial Velocity,0.406294,,,,,0.227859,,0,
Radial Velocity,0.86,,,,,0.34,0.808,0,
Radial Velocity,0.297,,,,,0.07,,0,
Radial Velocity,10.780317,,,3514.14627,11.05674,0.165353,93.088,0,
Radial Velocity,3.49516,,,9165.5058,28.83791,0.596681,84.685,0,
Radial Velocity,3.16,,,,,0.591,,0,
Radial Velocity,0.0809,,,,,0,,0,
Radial Velocity,0.08,,,,,0,,0,
Radial Velocity,1.348279,,,,,0.4465,,0,
Radial Velocity,1.372,,,,,0.4553,,0,
Radial Velocity,1.2,,,,,0.38,,0,
Radial Velocity,1.37,,,,,0.46,,0,
Radial Velocity,1.37,,,,,0.46,,0,
Radial Velocity,0.0524,,,,,0.049,,0,
Radial Velocity,0.051386,,,,,0.148622,,0,
Radial Velocity,0.05,,,,,0.27,,0,
Radial Velocity,3.979432,,,2352.38976,7.40145,0.114614,88.195,0,
Radial Velocity,4.06,,,,,0.1172,,0,
Radial Velocity,4.2,,,,,0.28,,0,
Radial Velocity,0.54,,,,,0.04,,0,
Radial Velocity,0.54,,,,,0.04,,0,
Radial Velocity,1.837,,,,,0.035,,0,
Radial Velocity,0.79,,,,,0.23,,0,
Radial Velocity,0.84,,,,,0.38,,0,
Radial Velocity,0.8079,,,,,0.3768,,0,
Radial Velocity,0.824,,,,,0.3597,,0,
Radial Velocity,0.831,,,,,0.3768,,0,
Radial Velocity,0.831,,,,,0.361,,0,
Radial Velocity,2.8145,,,,,0.031,,0,
Radial Velocity,2.861,,,,,0.025,,0,
Radial Velocity,2.86,,,,,0.017,,0,
Radial Velocity,2.9,,,,,0.031,,0,
Radial Velocity,2.248182,,,119.96298,0.37745,0.547783,97.477,0,
Radial Velocity,2.291,,,,,0.577,,0,
Radial Velocity,2.37,,,,,0.41,,0,
Radial Velocity,2.35,,,,,0.41,,0,
Radial Velocity,0.287149,,,,,0.239894,,0,
Radial Velocity,1.02,,,,,0.31,,0,
Radial Velocity,,,,,,0.3,,0,
Radial Velocity,1.086,,,,,0.345,,0,
Radial Velocity,1.099,,,,,0.25,,0,
Radial Velocity,1.088,,,,,0.283,,0,
Radial Velocity,1.084,,,,,0.303,30,0,
Radial Velocity,,,,,,0.12,,0,
Radial Velocity,1.745,,,,,0.23,,0,
Radial Velocity,1.742,,,,,0.196,,0,
Radial Velocity,1.76,,,,,0.17,,0,
Radial Velocity,1.74,,,1204.25787,3.789,0.159,55.95,0,
Radial Velocity,0.87,,,,,0.57,,0,
Radial Velocity,2.9,,,,,0.7,,0,
Radial Velocity,0.0925,,,,,0.029,,0,
Radial Velocity,0.0929,,,,,0.015,,0,
Radial Velocity,0.09,,,,,0.063,,0,
Radial Velocity,0.088,,,,,0.044,,0,
Radial Velocity,0.0896,,,,,0.011,,0,
Radial Velocity,2.01,,,,,0.181,,0,
Radial Velocity,2.11,,,,,0.16,,0,
Radial Velocity,2.09,,,,,0.163,,0,
Radial Velocity,4.1,,,,,0.563,,0,
Radial Velocity,1.25,,,,,0.27,,0,
Radial Velocity,1.85,,,,,0.27,,0,
Radial Velocity,1.98,,,,,0.34,,0,
Radial Velocity,1.98,,,,,0.34,,0,
Radial Velocity,2.62,,,,,0.22,,0,
Radial Velocity,1.44,,,,,0.33,,0,
Radial Velocity,4.49,,,,,0.49,,0,
Radial Velocity,6.15,,,,,0.61,,0,
Radial Velocity,0.0444,,,,,0.45,,0,
Radial Velocity,2.3928,,,,,0.11,,0,
Radial Velocity,0.818,,,,,0.2281,,0,
Radial Velocity,0.81,,,,,0.23,,0,
Radial Velocity,0.81,,,,,0.233,,0,
Radial Velocity,0.82,,,,,0.37,,0,
Radial Velocity,0.82,,,,,0.243,,0,
Radial Velocity,6.62,,,,,0.154,,0,
Radial Velocity,5.8,,,,,0.12,,0,
Radial Velocity,4.183784,,,1880.61597,5.91708,0.164345,93.872,0,
Radial Velocity,2.325263,,,4174.7703,13.1353,0.344143,116.779,0,
Radial Velocity,0.0969,1.482,0.132,4.62,0.01454,0.079,88.86,0,0.018
Radial Velocity,,1.828,0.163,,,,,0,0.038138
Radial Velocity,0.0964,1.664,0.148,4.72,0.01485,0,88.49,0,0.0208
Radial Velocity,0.0934,,,,,0.14,,0,
Radial Velocity,,2.579,0.23,,,,,0,0.054594
Radial Velocity,0.1721,2.916,0.26,11.24,0.03536,0,88.571,0,0.0638
Radial Velocity,0.1666,,,,,0.04,,0,
Radial Velocity,0.1729,2.608,0.233,11.29,0.03552,0.037,88.658,0,0.0558
Radial Velocity,0.4128,,,,,0.09,,0,
Radial Velocity,0.4285,,,,,0.075,,0,
Radial Velocity,0.425,2.562,0.229,8.82,0.02775,0,89.73,0,0.0492
Radial Velocity,1.32,,,,,0.255,,0,
Radial Velocity,1.29,,,,,0.25,,0,
Radial Velocity,5.13,,,,,0.103,,0,
Radial Velocity,0.534309,,,,,0.651427,,0,
Radial Velocity,0.89,,,,,0.36,,0,
Radial Velocity,0.89,,,,,0.36,,0,
Transit,0.02732,1.31,0.117,4.04,0.01271,0,85.8,0,0.00575
Radial Velocity,1.2163,,,,,0.477,,0,
Radial Velocity,0.10519,,,,,0.071,,0,
Radial Velocity,0.2554,,,,,0.156,,0,
Radial Velocity,0.154,,,,,0.02,,0,
Radial Velocity,2.03,,,,,0.12,,0,
Radial Velocity,5.15,,,,,0.02,,0,
Radial Velocity,5.323,,,,,0.02,,0,
Radial Velocity,,,,,,0.033,,0,
Radial Velocity,5.15,,,,,0.02,,0,
Radial Velocity,2.36,,,,,0.1,,0,
Radial Velocity,2.948979,,,6315.52561,19.87087,0.098928,103.235,0,
Transit,,12.216,1.09,,,,,0,0.238991
Transit,0.1003,11.467,1.023,116.64361,0.367,0.216,88.7,0,
Transit,,,,,,,,0,
Transit,0.1097,11.5,1.026,131.89945,0.415,0.251,88.99,0,0.2037
Radial Velocity,5.3,,,,,0.697,,0,
Radial Velocity,5.250541,,,5001.77608,15.73735,0.681467,89.704,0,
Radial Velocity,3.4,,,,,0.533,,0,
Radial Velocity,0.084501,,,,,0.472252,,0,
Radial Velocity,7.343138,,,1685.33019,5.30264,0.607482,169.43,0,
Radial Velocity,0.1238,,,,,0.16,,0,
Radial Velocity,0.4225,,,,,0.04,,0,
Radial Velocity,0.4176,,,,,0.053,,0,
Radial Velocity,0.415,,,,,0.04,,0,
Radial Velocity,0.7023,,,,,0.05,,0,
Radial Velocity,0.693,,,,,0.0465,,0,
Radial Velocity,0.689,,,,,0.048,,0,
Radial Velocity,2.09,,,,,0.074,,0,
Radial Velocity,2.114,,,,,0.044,,0,
Radial Velocity,2.1348,,,,,0.06,,0,
Radial Velocity,4.8968,,,,,0,,0,
Radial Velocity,5,,,,,0.26,,0,
Radial Velocity,4.5,,,,,0.047,,0,
Radial Velocity,1.4877,,,,,0.41,,0,
Radial Velocity,1.5,,,,,0.41,,0,
Radial Velocity,1.52,,,,,0.41,,0,
Radial Velocity,0.474065,,,,,0.129711,,0,
Radial Velocity,1,,,,,0.37,,0,
Radial Velocity,1.045,,,,,0.26,,0,
Radial Velocity,1.02,,,,,0.17,,0,
Radial Velocity,1.038376,,,,,0.157528,,0,
Radial Velocity,6.8,,,,,0.21,,0,
Radial Velocity,9.815941,,,3521.33769,11.07937,0.276797,90.374,0,
Radial Velocity,2.93,,,,,0.53,,0,
Radial Velocity,3.03,,,,,0.53,,0,
Radial Velocity,2.78,,,,,0,,0,
Radial Velocity,2.77,,,,,0.09,,0,
Radial Velocity,1.06,,,,,0.5,,0,
Radial Velocity,1.05,,,,,0.5,,0,
Radial Velocity,0.0379,,,,,0.07,,0,
Radial Velocity,1.988,,,,,0.197,,0,
Radial Velocity,2,,,,,0.18,,0,
Radial Velocity,1.98,,,,,0.193,,0,
Radial Velocity,2,,,,,0.15,,0,
Radial Velocity,0.242129,,,,,0.820894,,0,
Radial Velocity,0.45,,,,,0.31,,0,
Radial Velocity,0.45,,,,,0.307,,0,
Radial Velocity,0.61,,,,,,,0,
Radial Velocity,0.76,,,,,0.11,,0,
Radial Velocity,0.76,,,,,0.112,,0,
Radial Velocity,16.4,,,,,0.45,,0,
Radial Velocity,11.938641,,,1582.94652,4.98051,0.392756,129.097,0,
Radial Velocity,4.6,,,,,0.053,,0,
Radial Velocity,4.73,,,,,0.057,,0,
Radial Velocity,4.888326,,,762.59821,2.3994,0.077973,81.958,0,
Radial Velocity,0.0636,,,,,0.062,,0,
Radial Velocity,0.0634,,,,,0.172,,0,
Radial Velocity,,,,,,0.16,,0,
Radial Velocity,0.063438,,,,,0.14,,0,
Radial Velocity,0.1121,,,,,0.11,,0,
Radial Velocity,0.1117,,,,,0.305,,0,
Radial Velocity,0.2388,,,,,0.4686,,0,
Radial Velocity,1.922,,,,,0.133,,0,
Radial Velocity,0.3193,,,,,0.01,,0,
Radial Velocity,0.3315,,,,,0.1,,0,
Radial Velocity,0.323,,,,,0.07,,0,
Radial Velocity,1.32,,,,,0.26,,0,
Radial Velocity,1.7,,,,,0.155,,0,
Radial Velocity,0.522,,,,,0.207,,0,
Radial Velocity,1.36,,,,,0.23,,0,
Radial Velocity,2.45,,,,,0.52,,0,
Radial Velocity,0.993,,,,,0.587,,0,
Radial Velocity,6.15,,,,,0.125,,0,
Radial Velocity,0.93,,,,,0.16,,0,
Radial Velocity,1.04,,,,,0.16,,0,
Radial Velocity,,8.295,0.74,120.7754,0.38,0,84.55,0,0.29
Radial Velocity,0.042,8.127,0.725,,,0,85.3,0,
Radial Velocity,,9.113,0.813,116.957,0.368,,84.55,0,
Radial Velocity,0.04364,9.09,0.811,102.34126,0.322,0.013,84.5,0,
Radial Velocity,0.04313,7.331,0.654,114.10097,0.359,,90,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,0.0432,,,,,0.051,,0,
Radial Velocity,,,,102.97692,0.324,0.0028,,0,
Radial Velocity,,7.969,0.711,,,,,0,0.290522
Radial Velocity,,,,,,,,0,
Radial Velocity,0.04288,6.837,0.61,113.14748,0.356,,88,0,
Radial Velocity,0.053,,,,,0.0167,,0,
Radial Velocity,0.053,,,,,0.016,,0,
Radial Velocity,0.052,,,,,0.08,,0,
Radial Velocity,0.05,,,,,0.02,,0,
Radial Velocity,12.278296,,,3878.07724,12.2018,0.357139,13.574,0,
Radial Velocity,1.4,,,,,0.2,,0,
Radial Velocity,1.31,,,,,0.101,,0,
Radial Velocity,1.262,,,,,0.031,,0,
Radial Velocity,6.7,,,,,0.38,,0,
Radial Velocity,0.159926,,,,,0.49556,,0,
Radial Velocity,14.10056,,,1634.10971,5.14148,0.137994,42.369,0,
Radial Velocity,3.98,,,,,0.52,,0,
Radial Velocity,4.187,,,,,0.532,,0,
Radial Velocity,3.2,,,,,0.6,,0,
Radial Velocity,1.49,,,,,0,,0,
Radial Velocity,1.66,,,,,0.04,,0,
Radial Velocity,1.48,,,,,0.074,,0,
Transit,0.1053,3.41,0.304,11.56,0.03637,0.14,88.85,0,
Transit,,3.665,0.327,,,,,0,0.062078
Transit,,5.83,0.52,27.5,0.08652,0.115,88.89,0,
Transit,0.0522,1.64,0.146,7.51,0.02363,0.09,88.5,0,
Transit,0.05245,1.699,0.152,7.2,0.02265,0.17,88.36,0,0.0344
Transit,,1.725,0.154,,,,,0,0.039863
Transit,0.1268,2.39,0.213,8.11,0.02552,0.05,88.5,0,
Transit,,2.195,0.196,,,,,0,0.068014
Transit,0.1235,2.522,0.225,8.79,0.02766,0.19,88.413,0,0.0758
Radial Velocity,0.068049,,,,,0.065355,,0,
Radial Velocity,0.111312,,,,,0.511322,,0,
Radial Velocity,21.349779,,,8680.48112,27.31185,0.151517,14.324,0,
Radial Velocity,1.28,,,,,0.34,,0,
Radial Velocity,1.28,,,,,0.34,,0,
Radial Velocity,0.134,,,,,0.344,,0,
Radial Velocity,4.272,,,,,0.038,,0,
Radial Velocity,4.21,,,,,0.04,,0,
Radial Velocity,4.19,,,,,0.044,,0,
Radial Velocity,,,,,,0.038,,0,
Radial Velocity,4.3,,,,,0.26,,0,
Radial Velocity,0.6,,,,,0.61,,0,
Radial Velocity,0.6,,,,,0.61,,0,
Radial Velocity,0.59,,,,,0.6,,0,
Radial Velocity,1.2,,,,,0.47,,0,
Radial Velocity,1.291,,,,,0.46,,0,
Radial Velocity,1.29,,,,,0.46,,0,
Radial Velocity,5.36,,,,,0.06,,0,
Radial Velocity,1.04,,,,,0.21,0.711,0,
Radial Velocity,2.07,,,,,0.03,,0,
Radial Velocity,2,,,,,0.04,,0,
Radial Velocity,0.63,,,,,0.17,,0,
Radial Velocity,0.64,,,,,0.17,,0,
Radial Velocity,1.02,,,,,0.16,,0,
Radial Velocity,0.030046,,,,,-0.079533,,0,
Radial Velocity,13.125939,,,1849.85628,5.8203,0.07103,31.771,0,
Radial Velocity,0.166479,,,,,0.108643,,0,
Radial Velocity,8.301568,,,1661.50392,5.22768,0.391098,23.462,0,
Radial Velocity,0.495,,,,,0.708,,0,
Radial Velocity,0.501896,,,,,0.647243,,0,
Radial Velocity,0.49,,,,,0.71,,0,
Radial Velocity,0.5041,,,,,0.64779,,0,
Radial Velocity,,,,,,0.231,,0,
Radial Velocity,5.484633,,,3207.01405,10.09039,0.260544,74.699,0,
Radial Velocity,5.461,,,,,0.2597,,0,
Radial Velocity,1.88,,,,,0.22,,0,
Radial Velocity,0.05024,,,,,0.235,,0,
Radial Velocity,,,,,,0.22,,0,
Radial Velocity,0.05,,,,,0,,0,
Radial Velocity,1.57,,,,,0.089,,0,
Radial Velocity,1.12,,,,,0.85,,0,
Radial Velocity,0.993,,,,,0.8472,,0,
Radial Velocity,1.096,,,,,0.84785,,0,
Radial Velocity,1.52,,,,,0.291,,0,
Radial Velocity,1.5,,,,,0.29,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,,1.292,0.115,,,,,0,0.007
Radial Velocity,,,,,,,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,2.1,,,,,0.13,,0,
Radial Velocity,0.11,,,,,0.02,,0,
Radial Velocity,0.8,,,,,0.075,,0,
Radial Velocity,2.32,,,,,0.024,,0,
Radial Velocity,2.3,,,,,0.01,,0,
Radial Velocity,2.25,,,,,0.01,,0,
Radial Velocity,2,,,,,0.69,,0,
Radial Velocity,1.032,,,,,0.184,,0,
Radial Velocity,1,,,,,0.15,,0,
Radial Velocity,1.49,,,,,0.08,,0,
Radial Velocity,1.48,,,,,0.078,,0,
Radial Velocity,1.492,,,,,0.095,,0,
Radial Velocity,3.52,,,,,0.098,,0,
Radial Velocity,3.584,,,,,0.099,,0,
Radial Velocity,1.535,,,,,0.0001,,0,
Radial Velocity,1.65,,,,,0.62,,0,
Radial Velocity,1.5,,,,,0.31,,0,
Radial Velocity,1.5,,,,,0.2,,0,
Radial Velocity,,,,1366.66215,4.3,,60,0,
Radial Velocity,1.497,,,,,0.128,,0,
Radial Velocity,,,,1398.44499,4.4,,60,0,
Radial Velocity,4.17,,,,,0.57,,0,
Radial Velocity,5.543,,,,,0.027,,0,
Radial Velocity,5.235,,,,,0.0985,,0,
Radial Velocity,0.09094,,,,,0.172,,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,0.09,,,,,0,,0,
Radial Velocity,0.09286,,,,,0.184,,0,
Radial Velocity,,,,2224.79885,7,,60,0,
Radial Velocity,0.921,,,,,0.0666,,0,
Radial Velocity,0.934,,,,,0.079,,0,
Radial Velocity,0.85,,,,,0.044,,0,
Radial Velocity,0.3609,,,,,0.195,,0,
Radial Velocity,0.36,,,,,0.25,,0,
Radial Velocity,0.363,,,,,0.252,,0,
Radial Velocity,2.12,,,,,0.6,,0,
Radial Velocity,2.148,,,,,0.637,,0,
Radial Velocity,2.1,,,,,0.59,,0,
Radial Velocity,0.074,,,,,0.277,,0,
Radial Velocity,0.08,,,,,0.28,,0,
Radial Velocity,0.362,,,,,0.744,,0,
Radial Velocity,0.36,,,,,0.73,,0,
Radial Velocity,0.362,,,,,0.7441,,0,
Radial Velocity,2.42,,,,,0.12,,0,
Radial Velocity,2.38,,,,,0.076,,0,
Radial Velocity,2.39,,,,,0.08,,0,
Radial Velocity,0.14,,,,,0.2,,0,
Radial Velocity,0.87,,,,,0.238,,0,
Radial Velocity,0.875,,,,,0.26,,0,
Radial Velocity,0.23,,,,,0.088,,0,
Radial Velocity,1.3,,,,,0.24,,0,
Radial Velocity,1.331,,,,,0.35,,0,
Radial Velocity,2.115,,,,,0.126,,0,
Radial Velocity,2.11,,,,,0.05,,0,
Radial Velocity,2.16,,,,,0.08,,0,
Radial Velocity,2.1,,,,,0.05,,0,
Radial Velocity,2.149,,,,,0.065,,0,
Radial Velocity,0.3411,,,,,0.096,,0,
Radial Velocity,0.3351,,,,,0.22,,0,
Radial Velocity,0.341,,,,,0.12,,0,
Radial Velocity,0.1023,,,,,0.18,,0,
Radial Velocity,0.103,,,,,0.12,,0,
Radial Velocity,0.2292,,,,,0.086,,0,
Radial Velocity,1.13,,,,,0.2,,0,
Radial Velocity,0.94,,,,,0.63,,0,
Radial Velocity,5.42,,,,,0.734,,0,
Radial Velocity,1.3,,,,,0.027,,0,
Radial Velocity,1.32,,,,,0.089,,0,
Radial Velocity,1.304,,,,,0.092,,0,
Radial Velocity,0.1512,,,,,0.149,,0,
Radial Velocity,0.1192,,,,,0.12,,0,
Radial Velocity,0.2931,,,,,0.52883,,0,
Radial Velocity,0.292241,,,,,0.529979,,0,
Radial Velocity,0.2977,,,,,0.5313,,0,
Radial Velocity,0.29,,,,,0.53,,0,
Radial Velocity,0.3,,,,,0.5286,,0,
Radial Velocity,0.3,,,,,0.5295,,0,
Radial Velocity,2.84,,,,,0.222,,0,
Radial Velocity,2.91,,,,,0.2125,,0,
Radial Velocity,2.881,,,,,0.2112,,0,
Radial Velocity,2.8373,,,,,0.2113,,0,
Radial Velocity,2.91,,,,,0.2122,,0,
Radial Velocity,2.840843,,,5733.43678,18.03941,0.20976,91.218,0,
Radial Velocity,0.06504,,,,,0.098,,0,
Radial Velocity,0.0659,,,,,0.107,,0,
Radial Velocity,0.07,,,,,0.11,,0,
Radial Velocity,0.065,,,,,0.081,,0,
Radial Velocity,10.932103,,,2146.32971,6.75311,0.186773,129.839,0,
Radial Velocity,1.36,,,,,0.64,,0,
Radial Velocity,1.3,,,,,0.64,,0,
Radial Velocity,6.469422,,,2885.45006,9.07864,0.664501,19.657,0,
Radial Velocity,0.82,,,,,0.35,,0,
Radial Velocity,0.81,,,,,0.31,,0,
Radial Velocity,0.813,,,,,0.306,,0,
Radial Velocity,0.764552,,,,,0.293956,,0,
Radial Velocity,3.282,,,,,0.257,,0,
Radial Velocity,3.6,,,,,0.33,,0,
Radial Velocity,3.073402,,,2259.86363,7.11033,0.246156,24.469,0,
Radial Velocity,,,,,,0,,0,
Radial Velocity,2.1,,,,,0.11,,0,
Radial Velocity,2.213,,,,,0.15,,0,
Radial Velocity,2.24,,,,,0.11,,0,
Radial Velocity,1.31,,,,,0.17,,0,
Radial Velocity,1.13,,,,,,,0,
Radial Velocity,,,,,,0.166,,0,
Radial Velocity,1.32,,,,,0.59,,0,
Radial Velocity,1.32,,,,,0.59,,0,
Radial Velocity,2.57,,,,,0.234,,0,
Radial Velocity,2.54,,,,,0.4,,0,
Radial Velocity,2.518,,,2796.88998,8.8,0.358,19.1,0,
Radial Velocity,0.15,,,,,0.67,,0,
Radial Velocity,0.1637,11.938,1.065,1036.76146,3.262,,86.94,0,
Radial Velocity,0.1614,11.43,1.02,1023.37,3.22,0.6819,87.89,0,
Radial Velocity,,,,,,,,0,
Radial Velocity,0.16278,12.184,1.087,1028.18005,3.235,0.6703,86.49,0,
Radial Velocity,0.1607,,,,,0.6753,,0,
Radial Velocity,,12.274,1.095,1014.153,3.191,0.6768,86.49,0,
Radial Velocity,,13.185,1.176,,,,,0,0.657
Radial Velocity,,12.33,1.1,1115.5833,3.51,0.68,87.82,0,0.53
