#A [AU],M [earth mass]
1.890000,1773.49140
1.032000,1776.59000
1.980000,1782.95100
2.160000,1784.00000
1.090000,1789.38290
8.400000,1792.56120
1.030000,1811.63100
0.450000,1830.62400
0.530000,1837.05740
0.614000,1875.10000
2.030000,1875.10000
1.020000,1875.19700
2.280000,1897.44510
1.760000,1900.00000
3.820000,1900.62340
1.200000,1906.90000
5.700000,1906.98000
2.810000,1906.98000
0.450000,1913.33660
1.300000,1938.68000
1.400000,1938.70000
2.230000,1941.86000
3.400000,1960.93000
2.131000,1973.64000
1.890000,1999.10000
2.200000,1999.15070
0.780000,2000.00000
1.600000,2002.32900
2.038000,2002.32900
2.160000,2027.70000
2.140000,2028.70889
1.300000,2034.11200
0.940000,2040.00000
1.460000,2056.36010
1.080000,2065.89500
1.890000,2065.89500
1.930000,2080.00000
1.922000,2080.00000
0.456000,2084.88000
0.747000,2089.64400
1.010000,2097.67800
0.530000,2126.28270
1.812000,2129.46100
1.900000,2129.46100
1.100000,2129.46100
1.300000,2129.46100
6.570000,2158.06570
1.970000,2161.15000
5.600000,2161.20000
6.600000,2161.24400
1.940000,2180.31380
5.020000,2192.90000
5.690000,2192.93000
2.611000,2199.29000
1.086000,2199.38360
2.610000,2202.56190
0.730000,2215.18000
2.860000,2224.81000
0.339000,2234.25000
0.870000,2256.50000
1.970000,2269.30620
4.200000,2286.00000
1.940000,2310.62410
4.060000,2313.80240
1.930000,2330.00000
1.900000,2332.80000
0.345000,2336.05050
0.481000,2351.94200
0.481000,2357.02728
0.290000,2377.27000
0.484000,2380.45000
2.700000,2402.79480
0.760000,2415.40000
1.930000,2415.40600
9.890000,2415.50800
2.703300,2419.53800
0.480000,2421.86460
0.640000,2425.04290
0.293100,2434.15700
2.600000,2447.29100
2.772000,2450.37000
1.347000,2463.10000
5.500000,2475.89570
2.400000,2478.97000
3.400000,2479.00000
1.700000,2479.00000
2.730000,2479.07400
0.910000,2517.11000
3.820000,2541.57900
0.300000,2545.81830
0.300000,2548.89000
0.340000,2552.17490
3.850000,2561.60000
3.580000,2568.06640
2.880000,2574.42300
1.810000,2593.49280
3.900000,2606.10000
0.810000,2606.10000
0.950000,2637.90000
0.917000,2653.88050
7.520000,2660.23710
1.340000,2660.23710
0.918000,2682.37000
2.800000,2707.91160
3.704000,2740.33026
1.190000,2790.43000
1.360000,2793.72570
1.275000,2803.10000
1.300000,2828.60000
2.400000,2850.93510
20.250000,2860.00000
5.300000,2860.30000
2.700000,2860.47000
2.770000,2870.00490
1.100000,2892.10000
0.565000,2917.56000
1.487700,2960.78000
1.290000,2987.60200
5.280000,3003.37000
3.810000,3006.67180
4.590000,3054.22000
3.220000,3070.23780
1.500000,3079.77270
1.520000,3080.00000
1.623000,3082.31534
18.500000,3082.95100
0.495000,3086.00000
2.360000,3101.89000
1.660000,3108.37740
2.540000,3127.30000
0.080000,3127.44720
0.995000,3140.03000
0.490000,3140.16040
2.100000,3146.40000
1.370000,3178.00000
1.660000,3178.30000
3.100000,3184.65660
3.340000,3219.61790
1.310000,3219.61790
1.660000,3219.61790
3.380000,3264.00000
2.600000,3273.50000
3.280000,3273.64900
6.220000,3302.11000
3.950000,3321.20000
0.993000,3321.32350
1.540000,3337.07000
1.096000,3359.32000
2.100000,3368.99800
1.280000,3378.53290
1.120000,3391.24610
0.360000,3397.60270
1.700000,3400.64000
0.422000,3426.20740
1.510000,3432.40000
2.120000,3464.20000
1.250000,3480.23850
0.353000,3489.63000
4.300000,3496.00000
2.140000,3524.59000
1.600000,3527.80000
4.910000,3527.91300
0.363000,3710.00000
1.650000,3852.09960
0.117000,3941.09200
2.010000,3963.17000
2.504000,4036.44100
1.290000,4096.82870
3.640000,4128.61170
2.380000,4131.62000
3.720000,4163.57300
3.740000,4195.20000
3.712000,4252.39000
7.030000,4258.92200
1.167000,4338.20000
2.500000,4344.73610
0.990000,4392.41060
1.850000,4400.00000
2.100000,4449.62000
3.020000,4513.00000
0.074000,4580.00000
5.790000,4640.31800
1.258000,4643.30000
1.530000,4684.81420
7.700000,4780.16320
5.960000,4799.23300
1.188000,4830.80000
1.920000,5050.31870
3.730000,5196.52050
1.600000,5288.69120
2.840000,5361.57000
9.620000,5364.97040
2.900000,5403.11000
1.210000,5434.70000
2.837300,5464.22100
2.410000,5689.15700
9.750000,5689.15700
2.910000,5752.50000
2.910000,5752.72300
3.170000,5768.37100
3.170000,6076.90960
3.180000,6102.33600
1.290000,6165.60000
2.550000,6356.30000
1.460000,6397.91790
1.340000,6451.70000
3.230000,6451.94900
1.170000,6547.00000
1.420000,6661.71680
1.450000,6807.63000
4.560000,6865.12800
1.400000,6992.26000
3.160000,7043.11280
1.790000,7057.73298
1.900000,7627.92000
5.931000,7838.32346
12.400000,8508.30910
6.100000,8581.41000
3.300000,8613.19300
0.974000,10710.87100
1.050000,17668.16970
