#A [AU],M [earth mass]
0.121400,25.74423
0.121600,27.50000
0.121860,27.65000
0.323000,28.55000
0.250000,28.60470
2.392800,29.29000
1.030400,29.40000
0.481700,30.70000
0.403000,30.90000
0.249000,31.20000
1.373000,31.46517
0.120000,31.78300
0.060000,31.78300
0.970000,32.00000
4.819000,32.42200
0.058000,33.40000
0.461000,34.20000
0.123200,34.60000
1.520000,34.96130
0.119000,35.59696
5.400000,36.00000
0.058000,36.54900
1.543000,37.90000
0.056800,38.14000
1.520000,42.00000
0.262000,42.44000
0.149000,44.49620
0.788000,44.81200
0.775000,44.81200
3.600000,45.00000
0.781000,45.76600
0.773300,47.00510
0.513700,47.67250
3.805000,48.40000
0.260000,50.85280
0.170000,50.85280
0.198000,51.48846
0.238000,52.44000
0.237000,52.44000
0.435000,53.00000
0.718100,53.50000
0.240000,53.71100
0.540000,54.03000
0.150000,54.03110
0.241376,54.47380
0.770000,54.66400
0.153200,54.66400
0.153200,54.66400
0.180000,55.30242
0.176000,56.60000
0.237350,56.69850
0.150000,57.20940
0.264300,58.98500
0.681300,59.49530
0.170000,60.38770
0.049000,62.61251
0.280000,63.56000
0.890000,63.56600
0.690000,63.56600
2.729000,63.56600
3.400000,64.40000
3.381000,65.66368
0.362000,65.90000
0.533000,66.60000
0.269000,66.74100
0.687300,66.74150
0.050000,66.74430
0.912000,68.06000
0.240000,68.96911
0.890000,70.87310
2.560000,71.00000
0.870000,71.60000
0.039800,71.80000
0.296000,72.10000
0.295000,72.46524
0.295000,72.78000
0.065000,73.10090
2.550000,73.10090
0.051100,74.05439
1.837000,75.32571
3.015000,76.27920
0.065900,78.81900
0.041000,79.10000
0.300000,79.45750
0.040000,79.45750
0.134400,82.31500
0.363000,82.60000
0.360000,82.63580
0.130000,82.63580
0.102000,82.95000
2.560000,84.53920
0.710000,85.81000
0.061500,85.81410
0.070000,85.81410
1.360000,85.81410
0.063500,88.98900
0.060000,88.99240
0.047900,89.62806
0.047900,90.42263
1.360000,92.16680
0.046000,92.17070
0.163506,94.70940
0.047200,95.03117
0.302000,95.34000
0.050000,95.34900
0.166000,96.70000
2.100000,98.52730
0.043640,102.34126
0.043200,103.61258
0.680000,104.00000
1.135000,104.24400
1.282000,104.30000
0.150800,104.56607
0.145000,104.88000
1.200000,104.88000
2.115000,107.60000
3.110000,108.06220
1.020000,108.06220
0.037500,108.06220
0.040000,108.06220
0.230000,111.24050
0.250000,111.24050
2.395000,111.42000
0.042880,113.14748
5.340000,113.46531
4.074000,113.90000
0.043130,114.10097
1.240000,114.41000
0.721000,114.41000
2.110000,114.41400
0.250000,114.41880
0.042000,114.80000
0.070000,116.00000
2.160000,116.00000
1.780000,117.59000
0.477000,117.59000
0.150000,117.59710
2.350000,120.00000
0.036000,120.00000
6.360000,120.60000
0.039000,120.77540
0.140000,123.95000
0.036800,126.00000
0.040600,126.49100
0.040600,127.12700
0.104000,127.13200
1.850000,127.13200
1.020000,127.13200
0.210100,127.13200
0.774000,129.67464
0.178000,130.00000
0.050000,130.31030
2.370000,130.31030
4.490000,133.48860
0.040000,133.48860
0.046000,133.48860
0.177000,136.03124
0.237000,137.62039
0.066400,138.89171
0.148000,139.84520
1.110000,139.84520
0.870000,140.79869
0.036000,143.01700
0.490000,143.02000
2.730000,143.02350
0.415000,143.34133
0.045200,145.56000
0.052000,146.20180
0.422500,146.20180
0.047000,146.20180
0.338000,147.15529
0.048200,148.42661
0.052000,148.73800
2.690000,149.37000
0.230000,150.00000
0.052700,150.00900
0.046000,152.55000
5.160000,152.55000
0.875000,152.55000
0.510000,152.55000
0.044000,152.55000
0.934000,152.55200
0.040000,152.55840
1.487000,153.10000
0.049100,155.10104
0.140000,155.73670
0.050000,155.73670
1.260000,158.90800
1.105000,159.50000
0.042130,161.26010
2.380000,161.45764
0.030000,162.09330
0.042000,165.26000
0.042000,165.26000
0.524000,165.26500
0.921000,165.86850
0.042600,166.21800
3.293470,166.89822
1.010000,167.40000
2.280000,168.44000
0.940000,168.44990
3.000000,171.00000
3.600000,171.62100
0.060000,171.62820
0.130000,177.98000
0.150000,177.98480
0.586000,177.98480
0.570000,177.98480
0.460000,181.16310
1.890000,181.16310
1.610000,182.42700
1.190000,184.33000
0.040000,187.51970
1.940000,187.51970
0.975000,190.06234
1.640000,190.69000
0.920000,190.69000
0.570000,190.69800
1.030000,193.87000
0.530000,193.87000
3.340000,193.90000
0.033500,196.41100
3.460000,197.04600
0.049800,197.04600
0.046000,197.05000
0.122000,197.05000
0.039000,197.05000
1.260000,197.05460
3.160000,198.00000
0.519000,198.31800
2.075000,200.00000
0.046700,200.22000
1.760000,203.00000
3.400000,203.40000
0.940000,203.40000
0.153200,203.72000
0.125000,205.00000
2.360000,206.58950
0.460000,206.58950
1.710000,207.22516
1.773100,207.47704
0.897200,209.09150
3.190000,209.76000
5.000000,209.76780
2.240000,209.76780
0.125000,211.35695
2.100000,212.94000
2.656000,212.94610
0.059500,213.58176
0.533640,214.53525
3.560000,216.00000
2.450000,216.12440
1.300000,216.12440
0.057000,216.12440
0.047070,216.76006
0.047070,217.70400
0.059222,218.53100
0.047000,219.29000
0.059000,219.29000
4.896800,219.30270
3.142000,220.88300
2.807000,221.20968
0.048000,222.15400
0.189000,222.47200
0.191000,222.48100
3.410000,222.48100
0.057000,222.48100
2.430000,225.65000
0.192000,225.65000
1.332000,225.65930
0.047470,226.93062
0.129590,226.98460
1.332000,227.88411
0.150000,228.83000
0.960000,228.83760
1.000000,232.01000
0.150000,232.01000
1.359000,232.01000
2.112000,232.01590
0.153120,232.96000
1.880000,235.18000
0.049000,235.19420
2.050000,238.36000
0.059000,238.36000
0.407000,241.54000
1.032000,244.09344
0.330000,244.72000
0.360000,244.72000
0.130000,244.72910
0.057000,244.72910
0.150000,247.90000
0.362000,249.05159
0.115000,249.17872
0.316000,249.17872
2.070000,250.00000
2.070000,251.00000
0.130650,251.07500
0.362000,251.08570
0.129400,253.31051
0.113400,254.25000
0.113000,254.25000
1.700000,254.26400
1.350000,254.26400
1.650000,255.50000
1.662000,257.44230
5.800000,260.00000
0.113800,260.61000
2.410000,260.61000
2.350000,260.61000
0.639000,260.61000
4.210000,260.62060
2.070000,260.62060
1.650000,260.62060
1.020000,261.00000
0.115000,261.88100
2.067000,262.20975
0.115227,263.97850
2.100000,265.70588
0.135989,266.20000
0.131000,266.64813
0.113390,266.96600
2.080000,266.97000
0.110000,266.97720
0.115000,266.97720
0.045000,266.97720
0.640000,270.00000
2.450000,270.14400
0.131300,270.80000
0.131300,272.06248
2.080000,273.32000
0.132000,273.32000
0.540000,273.32000
0.330000,273.33380
0.154000,274.91000
2.153000,276.51210
1.420000,276.51210
0.134000,281.74197
0.870000,282.86870
1.950000,284.44600
0.990000,286.00000
0.115000,289.21000
2.320000,289.21000
0.190000,289.22530
1.000000,289.22530
2.390000,289.53100
2.971000,290.81445
0.044300,291.12000
2.840000,292.39000
0.080000,292.40360
2.030000,295.57000
2.440000,295.57000
1.492000,296.85322
2.015000,298.75000
0.077000,298.75000
4.190000,300.97200
1.400000,300.97200
3.020000,301.92600
2.110000,301.93000
0.045000,301.93000
0.081000,305.10000
0.080700,305.11680
0.890000,305.11680
0.930000,310.00000
1.480000,310.00000
1.770000,311.46000
0.060000,311.47340
2.659000,314.64000
0.630000,314.65170
4.300000,317.80000
2.350000,317.83000
1.200000,317.83000
3.200000,317.83000
1.032000,317.83000
2.658000,320.35900
2.950000,320.99000
0.077000,321.00830
2.950000,321.00830
2.680000,323.53700
0.088000,324.18660
1.940000,324.18660
0.046910,324.18660
1.240000,324.18660
1.000000,327.35000
0.077000,327.35000
0.759000,327.35000
1.030000,327.36490
1.169000,328.60000
0.089600,330.53000
0.780000,330.54320
0.219600,332.10000
0.610000,333.72150
0.500000,334.00000
1.930000,334.67499
3.360000,336.89000
0.770000,336.89980
0.576000,337.21763
2.770000,338.20000
0.057000,339.42800
0.530000,343.24000
1.033000,343.25640
0.504000,346.00000
2.100000,346.43470
0.080000,346.43470
2.330000,346.43470
0.060000,346.43470
1.160000,349.60000
0.031000,349.60000
0.230000,349.61300
3.067000,350.00000
2.300000,352.77600
0.539000,352.78000
2.200000,352.79130
2.990000,353.42696
3.396000,355.33394
1.700000,356.28743
0.031000,356.92309
0.490000,359.00000
0.110000,359.13000
0.567000,359.14790
1.730000,362.32620
0.030990,363.58200
0.092500,365.49000
0.031300,365.49000
2.071000,365.49000
1.073000,365.49000
0.031420,365.50450
1.030000,368.67000
2.150000,368.67000
1.490000,368.68280
0.500000,368.68280
0.031060,370.58978
2.090000,375.03940
1.370000,375.03940
1.600000,380.00000
1.510000,381.38000
3.020000,381.39600
0.950000,381.40000
0.037900,384.57430
0.520000,384.57430
1.370000,384.57430
1.320000,385.00000
1.960000,385.84562
2.134800,387.75260
2.340000,387.75260
0.330000,388.00000
1.100000,390.91000
0.993000,390.93090
1.980000,390.93090
1.650000,394.09000
1.360000,394.10920
1.020000,397.27000
0.950000,397.28750
1.393000,398.20000
2.560000,400.40000
1.190000,400.45000
2.500000,400.45000
1.300000,400.45000
2.740000,400.46580
1.360000,400.46580
1.110000,403.64410
1.100000,406.81000
0.545000,406.82240
1.038000,409.98000
1.138000,409.98000
1.130000,410.00070
2.300000,410.00070
1.301000,411.58985
1.040000,413.17900
0.080000,413.17900
1.060000,413.20000
1.650000,413.20000
2.555000,416.34000
1.045000,416.34000
0.490000,416.35730
0.560000,416.35730
0.549000,416.35730
0.053000,422.70000
4.800000,422.70000
0.073000,422.70000
0.689000,422.71390
0.053000,422.71390
7.730000,425.87000
2.980000,425.89220
3.130000,425.90000
1.053000,426.00000
0.426000,429.05000
1.160000,429.07050
1.051000,431.59500
1.051000,432.23000
0.702300,432.24880
0.052000,432.24880
0.475600,435.40900
1.305000,435.41000
0.896000,435.41000
0.074000,435.41000
1.230000,435.42710
2.315000,436.36200
2.340000,438.60540
0.460000,438.60540
1.070000,440.19455
0.074800,441.77000
2.130000,441.78370
2.140000,444.90000
1.650000,444.96200
1.050000,444.96200
1.900000,444.96200
0.075050,449.23380
0.890000,451.00000
1.040000,451.31860
1.440000,451.31860
1.397000,454.49690
0.460000,457.66000
0.890000,457.67520
4.940000,460.80000
1.086000,460.83000
3.250000,460.83000
3.930000,460.85350
0.777000,467.19000
0.609000,467.19000
1.810000,467.21010
0.034600,470.38840
2.010000,472.61321
1.364900,472.83000
2.620000,473.54700
1.221800,473.54700
3.242000,474.83802
1.600000,476.70000
1.480000,476.70000
2.400000,476.70000
1.203000,476.72000
1.151000,476.72500
0.720900,476.72500
2.600000,476.72500
0.490000,476.74500
1.090000,476.74500
0.035000,476.74500
0.830000,476.74500
3.920000,477.36100
0.330000,479.92330
1.814000,484.69075
2.370000,485.32641
2.030000,486.27990
1.500000,486.27990
4.430000,486.27990
1.227000,486.30000
3.970000,489.45820
3.580000,489.45820
1.180000,490.09386
1.850000,491.68301
3.390000,492.63650
1.570000,494.54348
4.010000,495.79000
1.280000,495.79000
1.271000,495.80000
1.380000,495.81480
1.830000,495.81480
1.570000,495.81480
1.134000,495.81480
3.560000,496.00000
1.410000,500.00000
0.810000,505.00000
4.130000,507.00000
1.565000,508.21017
4.200000,508.50000
1.200000,508.50000
2.900000,508.50700
1.390000,508.50700
1.670000,508.52800
1.100000,508.52800
2.600000,508.52800
0.680000,511.70630
0.810000,511.70630
2.306000,511.70630
1.167000,513.29545
0.820000,514.90000
1.050000,515.00000
0.820000,518.06290
3.833000,519.96988
11.600000,521.22000
2.320000,521.24120
0.030000,521.24120
5.230000,522.50000
1.990000,524.41950
0.096800,527.59780
1.500000,530.75000
1.060000,530.77610
1.497000,532.68308
1.535000,532.97800
1.680000,533.93000
1.680000,533.93000
1.681000,533.95440
1.420000,533.95440
3.550000,533.95440
1.183060,534.25000
1.911000,534.27223
1.400000,535.54355
0.050000,537.13270
1.140000,537.13270
2.000000,540.28800
1.320000,540.29000
0.760000,540.30000
1.250000,540.30000
2.130000,540.30000
1.100000,540.30000
1.700000,540.31100
1.500000,540.31100
1.300000,540.31100
3.400000,540.31100
1.060000,543.47000
3.860000,543.47000
1.670000,543.48930
3.740000,549.84590
1.180000,556.00000
2.240000,556.20250
1.214000,556.20250
1.151000,557.10000
1.669700,559.36000
1.880000,561.92344
1.084000,562.24127
0.660000,562.50000
0.291600,565.07800
0.291690,565.71000
1.660000,565.73740
2.827000,565.73740
3.600000,565.73740
3.270000,565.73740
1.920000,568.89000
1.200000,570.00000
1.360000,572.07000
0.292000,572.07000
0.757000,572.07000
1.200000,572.07000
2.010000,572.09400
2.700000,572.09400
1.520000,572.10000
1.800000,572.10000
1.230000,572.10000
1.148000,574.63664
2.650000,575.59013
2.814500,575.88400
5.235000,576.51900
4.417000,577.79100
0.654000,578.42600
1.173500,578.43000
1.920000,578.43000
2.320000,578.45060
2.860000,581.60000
1.180000,584.80720
1.601000,587.96000
2.050000,587.96000
1.758000,587.98550
3.180000,587.98550
0.750000,587.98550
0.070400,591.00000
0.294000,591.14000
1.853000,591.16380
2.600000,591.16380
2.700000,591.16380
2.342000,592.43512
1.660000,594.02427
3.790000,597.00000
5.150000,597.00000
1.970000,597.52040
